#  Data for: empty_60SDS_Na_DESAmber_TIP4P_307K_10fsS 
#  Bond, Effective time [ns]
1.000000000000000000e+00 9.882417359138144508e-02
2.000000000000000000e+00 1.619643532715294432e-01
3.000000000000000000e+00 2.026003292007337031e-01
4.000000000000000000e+00 2.368559436008224606e-01
5.000000000000000000e+00 2.538673913379750902e-01
6.000000000000000000e+00 2.633629537724614944e-01
7.000000000000000000e+00 2.612111979609110790e-01
8.000000000000000000e+00 2.525810153197019514e-01
9.000000000000000000e+00 2.333244072126000324e-01
1.000000000000000000e+01 2.000237412889447897e-01
1.100000000000000000e+01 1.594093573348518700e-01
1.200000000000000000e+01 1.806371596024728896e-02
