#  Data for: empty_60SDS_Na_DESAmber_TIP4P_307K_10fsS 
#  Bond, Effective time [ns]
1.000000000000000000e+00 5.882983372719356036e-02
2.000000000000000000e+00 4.880763614087182956e-02
3.000000000000000000e+00 4.004407768577304683e-02
4.000000000000000000e+00 4.144780452374752927e-02
5.000000000000000000e+00 3.818661611641924192e-02
6.000000000000000000e+00 3.761081447657086546e-02
7.000000000000000000e+00 3.317248217439647956e-02
8.000000000000000000e+00 3.020306142690519849e-02
9.000000000000000000e+00 2.308883853131126276e-02
1.000000000000000000e+01 1.716789421379415204e-02
1.100000000000000000e+01 1.182185695605955655e-02
1.200000000000000000e+01 4.903437965183029927e-03
