#  Data for: empty_60SDS_Na_DESAmber_TIP4P_307K_10fsS 
#  Bond, Effective time [ns]
1.000000000000000000e+00 1.148510101619513724e-01
2.000000000000000000e+00 9.519143505901464519e-02
3.000000000000000000e+00 7.626014371864892061e-02
4.000000000000000000e+00 8.126409178110158282e-02
5.000000000000000000e+00 7.535596873905339721e-02
6.000000000000000000e+00 7.315843613168013237e-02
7.000000000000000000e+00 6.472082878905383030e-02
8.000000000000000000e+00 5.700162865147390817e-02
9.000000000000000000e+00 4.395587194684374283e-02
1.000000000000000000e+01 3.223466890247838473e-02
1.100000000000000000e+01 1.904476461691649580e-02
1.200000000000000000e+01 5.161586434122557472e-03
