# Data for GWALP_mon_40_rep1_nothing_remove 
#  Effective time, Count
5.496393592342485590e-01 1.900000000000000000e+01
7.651250643450313582e-01 6.000000000000000000e+00
9.806107694558141574e-01 2.000000000000000000e+00
1.196096474566596957e+00 4.000000000000000000e+00
1.411582179677379756e+00 3.000000000000000000e+00
1.627067884788162777e+00 1.000000000000000000e+00
1.842553589898945576e+00 1.000000000000000000e+00
2.058039295009728598e+00 2.000000000000000000e+00
2.273525000120510953e+00 1.000000000000000000e+00
2.489010705231294196e+00 0.000000000000000000e+00
2.704496410342076995e+00 0.000000000000000000e+00
2.919982115452859794e+00 0.000000000000000000e+00
3.135467820563642594e+00 1.000000000000000000e+00
